cities,comment,confirmedCount,continentEnglishName,continentName,countryEnglishName,countryName,curedCount,currentConfirmedCount,deadCount,locationId,provinceEnglishName,provinceName,provinceShortName,suspectedCount,updateTime,deadRate,curedRate
暂无,暂无,104912,Asia,亚洲,Turkey,土耳其,21737,80575,2600,955018,Turkey,土耳其,土耳其,0,1587818801002,0.0248,0.2072
暂无,暂无,122,Africa,非洲,Ethiopia,埃塞俄比亚,29,90,3,985004,Ethiopia,埃塞俄比亚,埃塞俄比亚,0,1587818801002,0.0246,0.2377
暂无,暂无,117,Africa,非洲,Liberia,利比里亚,25,84,8,982009,Liberia,利比里亚,利比里亚,0,1587818801002,0.0684,0.2137
暂无,暂无,8125,Europe,欧洲,Ukraine,乌克兰,782,7142,201,964007,Ukraine,乌克兰,乌克兰,0,1587818801002,0.0247,0.0962
暂无,暂无,243,North America,北美洲,Jamaica,牙买加,0,237,6,974009,Jamaica,牙买加,牙买加,0,1587818801002,0.0247,0.0
暂无,暂无,2009,Europe,欧洲,Croatia,克罗地亚,982,976,51,965005,Croatia,克罗地亚,克罗地亚,0,1587818801002,0.0254,0.4888
暂无,暂无,121,Africa,非洲,Madagascar,马达加斯加,35,86,0,984005,Madagascar,马达加斯加,马达加斯加,0,1587818801002,0.0,0.2893
暂无,暂无,1330,Asia,亚洲,Afghanistan,阿富汗,188,1099,43,955001,Afghanistan,阿富汗,阿富汗,0,1587818374980,0.0323,0.1414
暂无,暂无,200,Africa,非洲,暂无,刚果（布）,19,175,6,0,暂无,刚果（布）,刚果（布）,0,1587818374980,0.03,0.095
暂无,暂无,10417,Europe,欧洲,Romania,罗马尼亚,2817,7048,552,965011,Romania,罗马尼亚,罗马尼亚,0,1587818374980,0.053,0.2704
暂无,暂无,1605,Europe,欧洲,Estonia,爱沙尼亚,192,1367,46,964002,Estonia,爱沙尼亚,爱沙尼亚,0,1587818374980,0.0287,0.1196
暂无,暂无,299,Africa,非洲,Tanzania,坦桑尼亚,37,252,10,985009,Tanzania,坦桑尼亚,坦桑尼亚,0,1587818374980,0.0334,0.1237
暂无,暂无,18184,Europe,欧洲,Ireland,爱尔兰,9233,7937,1014,961003,Ireland,爱尔兰,爱尔兰,0,1587818374980,0.0558,0.5078
暂无,暂无,704,Asia,亚洲,Lebanon,黎巴嫩,143,537,24,955012,Lebanon,黎巴嫩,黎巴嫩,0,1587818374980,0.0341,0.2031
暂无,暂无,14985,Europe,欧洲,Austria,奥地利,11694,2769,522,963001,Austria,奥地利,奥地利,0,1587818374980,0.0348,0.7804
暂无,暂无,298,South America,南美洲,Venezuela,委内瑞拉,0,288,10,0,Venezuela,委内瑞拉,委内瑞拉,0,1587818374980,0.0336,0.0
暂无,暂无,24506,Asia,亚洲,India,印度,5063,18668,775,953003,India,印度,印度,0,1587818374980,0.0316,0.2066
暂无,暂无,43888,North America,北美洲,Canada,加拿大,15541,26045,2302,971001,Canada,加拿大,加拿大,0,1587818374980,0.0525,0.3541
暂无,暂无,1430,Africa,非洲,Cameroon,喀麦隆,668,719,43,983001,Cameroon,喀麦隆,喀麦隆,0,1587818374980,0.0301,0.4671
暂无,暂无,37190,Europe,欧洲,Netherlands,荷兰,291,32490,4409,961006,Netherlands,荷兰,荷兰,0,1587818374980,0.1186,0.0078
暂无,暂无,1235,North America,北美洲,Cuba,古巴,0,1192,43,974004,Cuba,古巴,古巴,0,1587818374980,0.0348,0.0
暂无,暂无,250,North America,北美洲,El Salvador,萨尔瓦多,0,242,8,972003,El Salvador,萨尔瓦多,萨尔瓦多,0,1587818374980,0.032,0.0
暂无,暂无,519,North America,北美洲,Honduras,洪都拉斯,0,472,47,972005,Honduras,洪都拉斯,洪都拉斯,0,1587818374980,0.0906,0.0
